Metric,Value
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-0064,1
antenna_diodes_count,0
route__net,137285
route__net__special,2
route__drc_errors__iter:0,62306
route__wirelength__iter:0,10460243
route__drc_errors__iter:1,29408
route__wirelength__iter:1,10439538
route__drc_errors__iter:2,27052
route__wirelength__iter:2,10435857
route__drc_errors__iter:3,3894
route__wirelength__iter:3,10442514
route__drc_errors__iter:4,530
route__wirelength__iter:4,10443192
route__drc_errors__iter:5,171
route__wirelength__iter:5,10443268
route__drc_errors__iter:6,44
route__wirelength__iter:6,10443267
route__drc_errors__iter:7,0
route__wirelength__iter:7,10443330
route__drc_errors,0
route__wirelength,10443330
route__vias,990249
route__vias__singlecut,990249
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,480
design__critical_disconnected_pin__count,0
route__wirelength__max,1613.1
timing__unannotated_net__count__corner:nom_tt_025C_1v80,872
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,872
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,872
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,340
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,15
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.166013651968831
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.640459592377164
timing__hold__ws__corner:min_tt_025C_1v80,0.3815126100800038
timing__setup__ws__corner:min_tt_025C_1v80,9.94221089153243
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.381513
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,9.942211
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,872
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,351
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,15
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.571978369746244
clock__skew__worst_setup__corner:min_ss_100C_1v60,2.66841800653011
timing__hold__ws__corner:min_ss_100C_1v60,1.0320549151850646
timing__setup__ws__corner:min_ss_100C_1v60,3.060964901519329
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.032055
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,3.060965
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,872
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,338
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,15
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-1.5588049070526808
clock__skew__worst_setup__corner:min_ff_n40C_1v95,1.207112555190576
timing__hold__ws__corner:min_ff_n40C_1v95,0.14513657353412532
timing__setup__ws__corner:min_ff_n40C_1v95,12.463818774293761
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.145137
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,12.463819
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,872
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,341
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,20
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.517778501396494
clock__skew__worst_setup__corner:max_tt_025C_1v80,1.8901383215803271
timing__hold__ws__corner:max_tt_025C_1v80,0.3140767734786364
timing__setup__ws__corner:max_tt_025C_1v80,9.665413631918202
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.314077
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,9.665414
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,872
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,818
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,20
clock__skew__worst_hold__corner:max_ss_100C_1v60,-4.1797793076404774
clock__skew__worst_setup__corner:max_ss_100C_1v60,3.0810586065657035
timing__hold__ws__corner:max_ss_100C_1v60,0.9175638286663812
timing__setup__ws__corner:max_ss_100C_1v60,2.38082271747299
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.917564
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,2.380823
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,872
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,340
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,21
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-1.772826602365508
clock__skew__worst_setup__corner:max_ff_n40C_1v95,1.3680418296520371
timing__hold__ws__corner:max_ff_n40C_1v95,0.10963230633629834
timing__setup__ws__corner:max_ff_n40C_1v95,12.228852943073646
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.109632
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,12.228853
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,872
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,872
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79947
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000530634
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000532258
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00000413109
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000532258
design_powergrid__voltage__worst,0.000532258
design_powergrid__voltage__worst__net:VPWR,1.79947
design_powergrid__drop__worst,0.000532258
design_powergrid__drop__worst__net:VPWR,0.000530634
design_powergrid__voltage__worst__net:VGND,0.000532258
design_powergrid__drop__worst__net:VGND,0.000532258
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
