net,length_um
net20875,105.18µm
net21688,105.18µm
net23138,105.18µm
net30373,105.17µm
_027629_,105.16µm
net4884,105.16µm
net10535,105.16µm
net20469,105.16µm
net21858,105.16µm
net23199,105.16µm
net25784,105.16µm
net64837,105.16µm
_055509_,105.15µm
net969,105.14µm
net16754,105.14µm
net65225,105.14µm
net10214,105.135µm
_017293_,105.13µm
net47632,105.13µm
_017689_,105.12µm
_051994_,105.12µm
net4383,105.12µm
net11606,105.12µm
net20257,105.12µm
net20350,105.12µm
net49934,105.12µm
_027132_,105.1µm
net527,105.1µm
net19898,105.1µm
net23274,105.1µm
net24441,105.1µm
net29125,105.1µm
net64652,105.1µm
net8504,105.08µm
net18623,105.08µm
net21771,105.08µm
net23278,105.08µm
net22256,105.075µm
_019887_,105.06µm
_052807_,105.06µm
net20428,105.06µm
net21110,105.06µm
net22161,105.06µm
net23053,105.06µm
net27788,105.06µm
net28079,105.06µm
net49708,105.06µm
_041859_,105.04µm
net8204,105.04µm
net12265,105.04µm
net20009,105.04µm
net22796,105.04µm
net26555,105.04µm
_009446_,105.025µm
net1961,105.02µm
net23137,105.02µm
net23143,105.02µm
net23650,105.02µm
net23659,105.02µm
net23827,105.02µm
net29790,105.02µm
_017295_,105.01µm
net2760,105µm
net23499,105µm
net23841,105µm
net6974,104.98µm
net20162,104.98µm
net21147,104.98µm
net21250,104.98µm
net23937,104.98µm
net15467,104.965µm
_012623_,104.96µm
net8282,104.96µm
net20619,104.96µm
net20637,104.96µm
net20660,104.96µm
net20792,104.96µm
net21667,104.96µm
net22264,104.96µm
net23870,104.96µm
conv_accelerator_inst.acc\[162\],104.94µm
net1687,104.94µm
net10209,104.94µm
net19909,104.94µm
net20585,104.94µm
net23875,104.94µm
net30028,104.94µm
net18233,104.93µm
_013433_,104.92µm
net8701,104.92µm
net10994,104.92µm
net21340,104.92µm
net23060,104.92µm
net23096,104.92µm
net23434,104.92µm
net27725,104.92µm
net24726,104.91µm
net6614,104.9µm
net19037,104.9µm
net20175,104.9µm
_010878_,104.88µm
net8378,104.88µm
net20194,104.88µm
net23505,104.88µm
_048864_,104.87µm
net6742,104.86µm
net7452,104.86µm
net10276,104.86µm
net13090,104.86µm
net21412,104.86µm
net21538,104.86µm
net25999,104.86µm
net27709,104.86µm
_050901_,104.84µm
_053700_,104.84µm
net2049,104.84µm
net21475,104.84µm
net21687,104.84µm
net23471,104.84µm
net24423,104.84µm
_013409_,104.82µm
net6706,104.82µm
net19894,104.82µm
net20267,104.82µm
net20621,104.82µm
net24552,104.82µm
net28763,104.82µm
_023792_,104.8µm
_050910_,104.8µm
_053955_,104.8µm
net2128,104.8µm
net13891,104.8µm
net22012,104.8µm
net23131,104.8µm
net25036,104.79µm
_052151_,104.78µm
net4601,104.78µm
net12337,104.78µm
net21396,104.78µm
net23310,104.78µm
net23940,104.78µm
_028363_,104.76µm
net12182,104.76µm
net20200,104.76µm
_021835_,104.75µm
net1428,104.74µm
net10832,104.74µm
net20856,104.74µm
net25200,104.73µm
_024422_,104.72µm
net718,104.72µm
net9093,104.72µm
net9263,104.72µm
net11586,104.72µm
net21643,104.72µm
net22055,104.72µm
net22063,104.72µm
net24596,104.72µm
net25981,104.72µm
net27334,104.72µm
net9111,104.7µm
net20521,104.7µm
net21872,104.7µm
net22109,104.7µm
net22241,104.7µm
net23056,104.7µm
net23202,104.7µm
net24159,104.7µm
net28271,104.7µm
net23171,104.695µm
net7243,104.68µm
net21831,104.68µm
net23023,104.68µm
net27506,104.68µm
QSPI_rdata\[25\],104.675µm
_023078_,104.66µm
net372,104.66µm
net1371,104.66µm
net5062,104.66µm
net12151,104.66µm
net20538,104.66µm
net23088,104.66µm
net23176,104.66µm
net65961,104.66µm
net16049,104.655µm
net8013,104.64µm
net23238,104.64µm
net6181,104.62µm
net20696,104.62µm
net30308,104.62µm
net50114,104.62µm
net19359,104.615µm
net21718,104.6µm
net21828,104.6µm
net22149,104.6µm
net22794,104.6µm
net23797,104.6µm
net23831,104.6µm
_025945_,104.58µm
net2099,104.58µm
net8608,104.58µm
net21868,104.58µm
net22105,104.58µm
net22944,104.58µm
net23250,104.58µm
net23311,104.58µm
net23467,104.58µm
net26735,104.58µm
net24180,104.57µm
net27451,104.57µm
net117,104.56µm
net5050,104.56µm
net7081,104.56µm
net10943,104.56µm
net17938,104.56µm
net23793,104.56µm
net26496,104.55µm
conv_accelerator_inst.acc\[117\],104.54µm
net1373,104.54µm
net21701,104.54µm
net26536,104.54µm
net17947,104.535µm
net18759,104.53µm
net20490,104.52µm
net23091,104.52µm
net6258,104.5µm
net16726,104.5µm
net20465,104.5µm
net21151,104.5µm
net21763,104.5µm
net23352,104.5µm
net25404,104.5µm
net3329,104.48µm
net7540,104.48µm
net20525,104.48µm
net22101,104.48µm
net22116,104.48µm
net22913,104.48µm
net28148,104.48µm
net25058,104.47µm
net27802,104.47µm
_022577_,104.46µm
net8418,104.46µm
net15792,104.46µm
net21170,104.46µm
net25633,104.46µm
yz_bram_ctrl_inst.yz_ram.u_mem.u_mem.g_1k.u_cell.rdata\[30\],104.44µm
net6226,104.44µm
net21230,104.44µm
_023151_,104.42µm
_027605_,104.42µm
_042383_,104.42µm
net8810,104.42µm
net21598,104.42µm
net27262,104.42µm
net28363,104.42µm
net24657,104.41µm
_057289_,104.4µm
cpu_inst.CORE.core_i.ex_stage_i.mult_i.int_op_a_msu\[27\],104.4µm
net4616,104.4µm
net8127,104.4µm
net14219,104.4µm
net14470,104.4µm
net20144,104.4µm
net20392,104.4µm
net20477,104.4µm
net21027,104.4µm
net21611,104.4µm
net21772,104.4µm
net21937,104.4µm
net23464,104.4µm
net23916,104.4µm
net11618,104.38µm
net12873,104.38µm
net20532,104.38µm
net20593,104.38µm
net20625,104.38µm
net21504,104.38µm
net21826,104.38µm
net22916,104.38µm
net23141,104.38µm
net1414,104.36µm
net20114,104.36µm
net21506,104.36µm
net22011,104.36µm
net23645,104.36µm
net23742,104.36µm
_000036_,104.345µm
net15676,104.345µm
conv_accelerator_inst.wd_q\[59\],104.34µm
net11553,104.34µm
net12156,104.34µm
net23314,104.34µm
net23949,104.34µm
net29387,104.34µm
net60977,104.34µm
net2259,104.32µm
net13697,104.32µm
net17762,104.32µm
net21354,104.32µm
net23795,104.32µm
_000127_,104.305µm
_053858_,104.3µm
net2530,104.3µm
net13770,104.3µm
net15086,104.3µm
net21995,104.3µm
net23470,104.3µm
net23837,104.3µm
net28330,104.3µm
net1085,104.29µm
_018323_,104.28µm
net1602,104.28µm
net8303,104.28µm
net13893,104.28µm
net14271,104.28µm
net20702,104.28µm
net21383,104.28µm
net22059,104.28µm
net2107,104.27µm
net20289,104.26µm
net22160,104.26µm
net22234,104.26µm
net28417,104.26µm
net16053,104.25µm
net21439,104.24µm
_013668_,104.23µm
data_bram_ctrl_inst.data_ram.u_mem.g_2k\[1\].u_cell.rdata\[30\],104.23µm
_020383_,104.22µm
net1387,104.22µm
net4200,104.22µm
net22065,104.22µm
net23205,104.22µm
net27980,104.22µm
net28067,104.22µm
_017335_,104.2µm
_019362_,104.2µm
net4741,104.2µm
net8576,104.2µm
net15374,104.2µm
net26559,104.2µm
net30368,104.2µm
_055488_,104.185µm
_011965_,104.18µm
net3749,104.18µm
net16652,104.18µm
net20809,104.18µm
net3059,104.16µm
net11282,104.16µm
net14494,104.16µm
net15561,104.16µm
net21370,104.16µm
net22070,104.16µm
net22062,104.155µm
data_bram_ctrl_inst.data_ram.u_mem.g_2k\[1\].u_cell.rdata\[17\],104.15µm
_049529_,104.14µm
net16743,104.14µm
net17510,104.14µm
net20316,104.14µm
net21784,104.14µm
net22122,104.14µm
net22838,104.14µm
net28443,104.14µm
net28278,104.125µm
_013948_,104.12µm
_045811_,104.12µm
net1330,104.12µm
net20235,104.12µm
net21126,104.12µm
net22140,104.12µm
net22982,104.12µm
net23028,104.12µm
net23029,104.12µm
net23276,104.12µm
net23433,104.12µm
net23453,104.12µm
net591,104.1µm
net1708,104.1µm
net4376,104.1µm
net4986,104.1µm
net1080,104.095µm
net28237,104.09µm
net11750,104.08µm
net21193,104.08µm
net2061,104.06µm
net4866,104.06µm
net15433,104.06µm
net20995,104.06µm
net21030,104.06µm
net21191,104.06µm
net22051,104.06µm
net1199,104.04µm
net12558,104.04µm
net13423,104.04µm
net21228,104.04µm
net22029,104.04µm
net22053,104.04µm
net22096,104.04µm
net22872,104.04µm
net22878,104.04µm
net23428,104.04µm
net23958,104.04µm
net27761,104.04µm
net64725,104.04µm
_025934_,104.02µm
cpu_inst.CORE.core_i.alu_operand_b_ex\[30\],104.02µm
net6547,104.02µm
net15873,104.02µm
net21014,104.02µm
net21830,104.02µm
net22869,104.02µm
net23469,104.02µm
net23483,104.02µm
net23887,104.02µm
net25314,104.02µm
net27638,104.02µm
net4199,104µm
net5258,104µm
net9375,104µm
net11828,104µm
net23004,104µm
net23162,104µm
_017664_,103.985µm
net18033,103.98µm
net21563,103.98µm
net48505,103.98µm
net23133,103.97µm
_054109_,103.96µm
net1173,103.96µm
net1213,103.96µm
net20110,103.96µm
net20893,103.96µm
net22912,103.96µm
_021185_,103.94µm
conv_accelerator_inst.wb_base1\[9\],103.94µm
net20740,103.94µm
net21430,103.94µm
net21664,103.94µm
net21698,103.94µm
net23496,103.94µm
net2342,103.92µm
net8462,103.92µm
net20154,103.92µm
net20234,103.92µm
net20421,103.92µm
net21599,103.92µm
net21849,103.92µm
net22145,103.92µm
net22793,103.92µm
net9668,103.9µm
net10976,103.9µm
net22881,103.9µm
net23501,103.9µm
net23533,103.9µm
net23622,103.9µm
net23720,103.9µm
net23740,103.9µm
net23868,103.9µm
net27490,103.9µm
_044765_,103.89µm
_009244_,103.88µm
net7973,103.88µm
net8996,103.88µm
net15475,103.88µm
net21884,103.88µm
net23803,103.88µm
_012740_,103.86µm
_024319_,103.86µm
net1982,103.86µm
net2245,103.86µm
net9120,103.86µm
net22949,103.86µm
net58862,103.86µm
_013641_,103.84µm
_056637_,103.84µm
net20320,103.84µm
net21557,103.84µm
net22267,103.84µm
net29224,103.84µm
net29552,103.84µm
net30693,103.84µm
net20529,103.82µm
net21234,103.82µm
net21715,103.82µm
net23206,103.82µm
net65396,103.82µm
net22048,103.815µm
net26984,103.81µm
_020243_,103.8µm
_027975_,103.8µm
_048909_,103.8µm
net20182,103.8µm
net22173,103.8µm
net22236,103.8µm
net22255,103.8µm
net23130,103.8µm
net29569,103.8µm
net25806,103.79µm
net28012,103.79µm
_012625_,103.78µm
_028840_,103.78µm
cpu_inst.CORE.core_i.alu_operand_b_ex\[29\],103.78µm
cpu_inst.CORE.core_i.id_stage_i.decoder_i.instr_rdata_i\[19\],103.78µm
net2546,103.78µm
net8184,103.78µm
net8781,103.78µm
net19211,103.78µm
net22995,103.78µm
net23243,103.78µm
net23279,103.78µm
net23857,103.78µm
net24712,103.78µm
net28329,103.77µm
GPIO_wdata\[25\],103.76µm
net89,103.76µm
net1559,103.76µm
net4735,103.76µm
net8931,103.76µm
net11990,103.76µm
net19687,103.76µm
net20622,103.76µm
net20934,103.76µm
net22090,103.76µm
net1641,103.75µm
net6340,103.74µm
net8754,103.74µm
net9123,103.74µm
net13124,103.74µm
data_bram_ctrl_inst.data_ram.u_mem.g_2k\[0\].u_cell.rdata\[17\],103.73µm
net25957,103.73µm
_020560_,103.72µm
uart_gu_inst.UART_CPB\[9\],103.72µm
net1038,103.72µm
net21835,103.72µm
net26055,103.72µm
data_bram_ctrl_inst.data_ram.u_mem.g_2k\[1\].u_cell.rdata\[25\],103.71µm
_057787_,103.7µm
net1562,103.7µm
net2864,103.7µm
net20429,103.7µm
net20899,103.7µm
net21840,103.7µm
net23920,103.7µm
net2400,103.68µm
net4887,103.68µm
net10436,103.68µm
net17430,103.68µm
net20375,103.68µm
net22914,103.68µm
net23786,103.68µm
net23914,103.68µm
net27882,103.67µm
net29455,103.66µm
net29554,103.66µm
_013470_,103.65µm
net9351,103.64µm
net15928,103.64µm
net22092,103.64µm
net23125,103.64µm
net23497,103.64µm
_018141_,103.635µm
_047824_,103.62µm
net11168,103.62µm
net16676,103.62µm
net19482,103.62µm
net23473,103.62µm
net29338,103.62µm
net26015,103.61µm
_011241_,103.6µm
_026029_,103.6µm
uart_gu_inst.UART_CPB\[28\],103.6µm
net20202,103.6µm
net20746,103.6µm
net21625,103.6µm
net21875,103.6µm
net66026,103.6µm
_011788_,103.58µm
net5342,103.58µm
net20168,103.58µm
net20199,103.58µm
net20564,103.58µm
net21165,103.58µm
net23816,103.58µm
net4250,103.56µm
net10737,103.56µm
net11614,103.56µm
net28433,103.56µm
net49905,103.56µm
net25613,103.55µm
net1218,103.54µm
net18139,103.54µm
net23312,103.54µm
net25411,103.54µm
_021908_,103.52µm
_039102_,103.52µm
_046591_,103.52µm
net19728,103.52µm
_020737_,103.515µm
_020269_,103.505µm
net11421,103.505µm
net5379,103.5µm
net8982,103.5µm
net4543,103.48µm
net8202,103.48µm
net12863,103.48µm
net15225,103.48µm
net23059,103.48µm
net23386,103.48µm
net23460,103.48µm
net29258,103.48µm
_021779_,103.46µm
net22167,103.46µm
_020522_,103.44µm
net4297,103.44µm
net23300,103.44µm
net23801,103.44µm
net23835,103.44µm
net23924,103.44µm
net28021,103.44µm
net15674,103.435µm
net26325,103.435µm
net2344,103.42µm
net16816,103.42µm
net19634,103.42µm
net22253,103.42µm
_045046_,103.4µm
net20751,103.4µm
net10454,103.39µm
_020199_,103.38µm
net19379,103.38µm
net20684,103.38µm
net21450,103.38µm
net21624,103.38µm
net21994,103.38µm
net7926,103.36µm
net8269,103.36µm
net9963,103.36µm
net21164,103.36µm
net21216,103.36µm
net21220,103.36µm
net21488,103.36µm
net21886,103.36µm
_012701_,103.34µm
net1693,103.34µm
net2276,103.34µm
net2556,103.34µm
net9580,103.34µm
net20190,103.34µm
net20447,103.34µm
net23307,103.34µm
net23736,103.34µm
net8347,103.335µm
_018453_,103.33µm
_009369_,103.32µm
net9128,103.32µm
net22925,103.32µm
net23001,103.32µm
net23105,103.32µm
net23148,103.32µm
net23185,103.32µm
net23332,103.32µm
net23562,103.32µm
net23674,103.32µm
net23819,103.32µm
net23964,103.32µm
net1820,103.31µm
net24147,103.3µm
_022795_,103.28µm
net14756,103.28µm
net21171,103.28µm
net21404,103.28µm
net21459,103.28µm
net23952,103.28µm
net27563,103.28µm
_011042_,103.27µm
conv_accelerator_inst.acc\[90\],103.26µm
net4901,103.26µm
net9725,103.26µm
net20861,103.26µm
net21589,103.26µm
net22174,103.26µm
net19553,103.24µm
net20451,103.24µm
net19683,103.225µm
net471,103.22µm
net3076,103.22µm
net8704,103.22µm
net8787,103.22µm
net23058,103.22µm
net23579,103.22µm
net23685,103.22µm
net23785,103.22µm
_026946_,103.2µm
net26358,103.2µm
GPIO_wdata\[17\],103.18µm
net12104,103.18µm
net20812,103.18µm
net23955,103.18µm
net24935,103.18µm
net28400,103.175µm
_020898_,103.16µm
conv_accelerator_inst.fc_scores\[3\]\[6\],103.155µm
_025763_,103.14µm
_049199_,103.14µm
net6769,103.14µm
net20547,103.14µm
net20692,103.14µm
net20839,103.14µm
net21880,103.14µm
net29756,103.14µm
net2620,103.12µm
net15298,103.12µm
net22811,103.12µm
net23362,103.12µm
net27787,103.12µm
net29090,103.12µm
net29514,103.12µm
net444,103.1µm
net8130,103.1µm
net15913,103.1µm
net22066,103.1µm
net23445,103.1µm
net27508,103.1µm
net28041,103.1µm
net1571,103.09µm
conv_accelerator_inst.acc\[242\],103.06µm
net27457,103.06µm
_017262_,103.04µm
_047400_,103.04µm
net14020,103.04µm
net16699,103.04µm
net17511,103.04µm
net20961,103.04µm
net21321,103.04µm
net22833,103.04µm
net23167,103.04µm
net24278,103.04µm
net26309,103.04µm
net25413,103.03µm
GPIO_wdata\[9\],103.02µm
_024909_,103.02µm
net1521,103.02µm
net3314,103.02µm
net3675,103.02µm
net21161,103.02µm
net21240,103.02µm
net21702,103.02µm
net21775,103.02µm
net21842,103.02µm
net22031,103.02µm
net23770,103.02µm
net23910,103.02µm
net26183,103.02µm
net27801,103.02µm
net29994,103.02µm
net20285,103µm
net21273,103µm
net21365,103µm
net23098,103µm
net23415,103µm
net23576,103µm
net23733,103µm
net23748,103µm
net23763,103µm
net23833,103µm
net25283,103µm
net27665,103µm
net29361,103µm
net1307,102.995µm
_024409_,102.98µm
_034285_,102.98µm
net23124,102.98µm
net23872,102.98µm
clknet_leaf_143_clk_i_regs,102.98µm
net632,102.975µm
_049035_,102.97µm
uart_gu_inst.tx_zero_alert,102.97µm
_018199_,102.96µm
net667,102.96µm
net2874,102.96µm
net6187,102.96µm
net12774,102.95µm
_028290_,102.94µm
net1215,102.94µm
net5238,102.94µm
net11424,102.94µm
net15749,102.94µm
net18032,102.94µm
net20793,102.94µm
net21428,102.94µm
net21721,102.94µm
net23204,102.94µm
net23845,102.94µm
_018088_,102.92µm
_018769_,102.92µm
net15574,102.92µm
net20741,102.92µm
net21035,102.92µm
net21697,102.92µm
net22955,102.92µm
net23172,102.92µm
net30306,102.92µm
net1165,102.905µm
net2088,102.9µm
net10918,102.9µm
net14587,102.9µm
net20232,102.9µm
net20256,102.9µm
net21202,102.9µm
net21641,102.9µm
net21845,102.9µm
net28376,102.9µm
clknet_leaf_136_clk_i_regs,102.9µm
_029500_,102.88µm
net20389,102.88µm
net20567,102.88µm
net22028,102.88µm
net22797,102.88µm
net23257,102.88µm
net23267,102.88µm
net23351,102.88µm
net23529,102.88µm
net29733,102.88µm
net2375,102.86µm
net5672,102.86µm
net6065,102.86µm
net21128,102.86µm
net23281,102.86µm
net23463,102.86µm
net23609,102.86µm
net26622,102.86µm
_019725_,102.85µm
_013619_,102.84µm
conv_accelerator_inst.fc_scores\[3\]\[10\],102.84µm
net22009,102.84µm
net28319,102.84µm
net3401,102.82µm
net10667,102.82µm
net12157,102.82µm
net20252,102.82µm
net20786,102.82µm
net21295,102.82µm
_011509_,102.8µm
net6352,102.8µm
net15579,102.8µm
net18054,102.8µm
net20670,102.8µm
net21316,102.8µm
net21728,102.8µm
net22903,102.8µm
net30387,102.8µm
net15476,102.785µm
net11905,102.78µm
net15908,102.78µm
net20298,102.78µm
net20398,102.78µm
net20704,102.78µm
net22207,102.78µm
net13545,102.77µm
_020847_,102.76µm
net8443,102.76µm
net18691,102.76µm
net23479,102.76µm
net23487,102.76µm
net23814,102.76µm
_027203_,102.74µm
net923,102.74µm
net12690,102.74µm
net14661,102.74µm
net23938,102.74µm
net25750,102.74µm
net2180,102.735µm
_010153_,102.73µm
net25453,102.73µm
net29525,102.725µm
_019946_,102.72µm
axi_instr_bram_rdata\[24\],102.72µm
net7465,102.72µm
net20722,102.72µm
net20888,102.72µm
net23759,102.72µm
_035331_,102.7µm
net15864,102.7µm
net18106,102.7µm
net20749,102.7µm
net26927,102.7µm
net62264,102.7µm
_025224_,102.68µm
net7922,102.68µm
net8843,102.68µm
net20418,102.68µm
net21238,102.68µm
net21647,102.68µm
net22802,102.68µm
_049854_,102.66µm
net20932,102.66µm
net22968,102.66µm
net23284,102.66µm
net26597,102.66µm
_012898_,102.64µm
_056853_,102.64µm
net20546,102.64µm
net21731,102.64µm
net21803,102.64µm
net22074,102.64µm
net22920,102.64µm
net23090,102.64µm
net23156,102.64µm
net23548,102.64µm
net23555,102.64µm
net23618,102.64µm
net23651,102.64µm
net28466,102.635µm
net24589,102.63µm
net27214,102.625µm
net2678,102.62µm
net8849,102.62µm
net10547,102.62µm
_039696_,102.6µm
net14194,102.6µm
net14981,102.6µm
net16061,102.6µm
net15283,102.585µm
_019494_,102.58µm
_026969_,102.58µm
net6400,102.58µm
net20659,102.58µm
net20890,102.58µm
net20997,102.58µm
net21055,102.58µm
net21682,102.58µm
net22643,102.58µm
net10774,102.56µm
net11489,102.56µm
net20580,102.56µm
net21162,102.56µm
net21907,102.56µm
net23073,102.56µm
net23211,102.56µm
net23357,102.56µm
net23701,102.56µm
conv_accelerator_inst.acc\[81\],102.54µm
net332,102.54µm
net20519,102.54µm
net21749,102.54µm
net22247,102.54µm
net23121,102.54µm
net23335,102.54µm
net23782,102.54µm
net23791,102.54µm
net26871,102.54µm
net1176,102.535µm
net22202,102.535µm
net16094,102.53µm
_020693_,102.52µm
net10426,102.52µm
net23541,102.52µm
net23689,102.52µm
net23723,102.52µm
net28383,102.51µm
net2621,102.5µm
net20731,102.5µm
net2609,102.485µm
_033999_,102.48µm
uart_gu_inst.UART_CPB\[19\],102.48µm
net1505,102.48µm
net10951,102.48µm
net18666,102.48µm
net20829,102.48µm
net23237,102.48µm
net23918,102.48µm
net27717,102.48µm
net27758,102.48µm
net2368,102.47µm
net15522,102.47µm
net20814,102.46µm
net20858,102.46µm
net20931,102.46µm
net21159,102.46µm
net21477,102.46µm
net22185,102.46µm
net26668,102.46µm
net66154,102.46µm
_057393_,102.44µm
net6061,102.44µm
net20545,102.44µm
net20921,102.44µm
net22254,102.44µm
net23843,102.44µm
net28047,102.44µm
net4588,102.42µm
net10378,102.42µm
net23422,102.42µm
net23441,102.42µm
net23855,102.42µm
net25383,102.42µm
net65220,102.42µm
_012131_,102.4µm
_023602_,102.4µm
_054196_,102.4µm
conv_accelerator_inst.acc\[169\],102.4µm
net10291,102.4µm
net23277,102.4µm
net28606,102.4µm
cpu_inst.CORE.core_i.alu_operand_c_ex\[30\],102.38µm
net2409,102.38µm
net18347,102.38µm
net19635,102.38µm
net20217,102.38µm
net23027,102.38µm
net23061,102.38µm
net29268,102.38µm
net18812,102.37µm
net23285,102.37µm
net24616,102.37µm
_011925_,102.36µm
net8294,102.36µm
net11570,102.36µm
net20757,102.36µm
net20927,102.36µm
net21177,102.36µm
net21219,102.36µm
net21385,102.36µm
net15707,102.355µm
_049654_,102.34µm
net12348,102.34µm
net20306,102.34µm
net20307,102.34µm
net20733,102.34µm
net21823,102.34µm
net23789,102.34µm
net26420,102.34µm
conv_accelerator_inst.acc\[202\],102.32µm
net9757,102.32µm
net19233,102.32µm
net23078,102.32µm
net23208,102.32µm
net23223,102.32µm
net23364,102.32µm
net23457,102.32µm
net23476,102.32µm
net23617,102.32µm
net23625,102.32µm
net23699,102.32µm
net23705,102.32µm
net23773,102.32µm
net58834,102.32µm
net16666,102.315µm
net20341,102.3µm
net20683,102.3µm
net21398,102.3µm
net23007,102.3µm
net23038,102.3µm
net23099,102.3µm
net23123,102.3µm
net23187,102.3µm
net29897,102.3µm
net60782,102.3µm
_011954_,102.28µm
_025410_,102.28µm
_030189_,102.28µm
_048811_,102.28µm
net1661,102.28µm
net20462,102.28µm
net28332,102.28µm
_011874_,102.27µm
net1721,102.26µm
net9960,102.26µm
net11466,102.26µm
net20724,102.26µm
net20766,102.26µm
net21174,102.26µm
_025916_,102.24µm
_027688_,102.24µm
net20739,102.24µm
net21252,102.24µm
net23387,102.24µm
net23688,102.24µm
net23830,102.24µm
net27783,102.24µm
net26348,102.23µm
_010295_,102.22µm
net15329,102.22µm
net20312,102.22µm
net20846,102.22µm
net21419,102.22µm
net22068,102.22µm
net27527,102.21µm
_018620_,102.2µm
_055642_,102.2µm
net20479,102.2µm
net20484,102.2µm
net21945,102.2µm
net23026,102.2µm
net23043,102.2µm
net23399,102.2µm
net23574,102.2µm
net23934,102.2µm
net25480,102.2µm
net27001,102.195µm
net62495,102.185µm
_043225_,102.18µm
net4436,102.18µm
net23320,102.18µm
net24586,102.18µm
_046025_,102.16µm
net21931,102.16µm
net23649,102.16µm
_019465_,102.14µm
_022272_,102.14µm
_022697_,102.14µm
net20329,102.14µm
net21076,102.14µm
net25720,102.135µm
net1451,102.13µm
net10806,102.12µm
net20887,102.12µm
net21021,102.12µm
net21042,102.12µm
net21534,102.12µm
net22309,102.12µm
net23583,102.12µm
net24549,102.12µm
net29669,102.12µm
net30014,102.12µm
net25548,102.11µm
qspi_master_inst.QSPI_ADR\[23\],102.105µm
net5270,102.1µm
net15472,102.1µm
net20120,102.1µm
net21923,102.1µm
net23050,102.1µm
net23170,102.1µm
net23524,102.1µm
net26887,102.1µm
net27488,102.1µm
_026248_,102.08µm
_026660_,102.08µm
net13880,102.08µm
net20468,102.08µm
net22963,102.08µm
net23290,102.08µm
net23297,102.08µm
net23303,102.08µm
net23432,102.08µm
net23449,102.08µm
net23553,102.08µm
net23654,102.08µm
net23828,102.08µm
net23929,102.08µm
_025794_,102.06µm
net8213,102.06µm
net22924,102.06µm
net26530,102.06µm
net25452,102.05µm
_019569_,102.04µm
_023380_,102.04µm
net420,102.04µm
net3084,102.04µm
net27022,102.04µm
net10207,102.02µm
net11015,102.02µm
net20489,102.02µm
net20795,102.02µm
net21335,102.02µm
net21547,102.02µm
net23388,102.02µm
_042514_,102µm
net446,102µm
net13709,102µm
net14780,102µm
net21095,102µm
net21932,102µm
net22060,102µm
net21878,101.98µm
net23214,101.98µm
net23575,101.98µm
net23737,101.98µm
net23885,101.98µm
_017429_,101.96µm
net20227,101.96µm
net22804,101.96µm
net23142,101.96µm
net23169,101.96µm
net23275,101.96µm
net23313,101.96µm
net23847,101.96µm
net14475,101.95µm
_055470_,101.945µm
_059316_,101.94µm
net3594,101.94µm
net4238,101.94µm
net12183,101.94µm
net17459,101.94µm
net23584,101.94µm
net30124,101.94µm
_020939_,101.92µm
net21061,101.92µm
net21969,101.92µm
net15226,101.91µm
net1118,101.9µm
net7720,101.9µm
net20136,101.9µm
net20159,101.9µm
net20658,101.9µm
net20998,101.9µm
net21665,101.9µm
net21752,101.9µm
net27796,101.9µm
_026023_,101.88µm
_028600_,101.88µm
net20209,101.88µm
net20863,101.88µm
net21792,101.88µm
net22801,101.88µm
net4079,101.87µm
_017827_,101.86µm
net19390,101.86µm
net20811,101.86µm
net21262,101.86µm
net21919,101.86µm
net22165,101.86µm
net22814,101.86µm
net22942,101.86µm
net23402,101.86µm
net23735,101.86µm
net27731,101.86µm
net28540,101.86µm
net15164,101.85µm
_052881_,101.84µm
_058550_,101.84µm
net23967,101.84µm
net1529,101.82µm
_024273_,101.8µm
_048880_,101.8µm
net7344,101.8µm
net10647,101.8µm
net15230,101.8µm
net20688,101.8µm
net20830,101.8µm
net21673,101.8µm
net23394,101.8µm
net23959,101.8µm
net27816,101.8µm
net20652,101.78µm
net21050,101.78µm
net21881,101.78µm
net22840,101.78µm
net23507,101.78µm
net23911,101.78µm
net24195,101.78µm
net25324,101.77µm
data_bram_ctrl_inst.data_ram.u_mem.g_2k\[1\].u_cell.rdata\[29\],101.76µm
net21236,101.76µm
net22019,101.76µm
net23041,101.76µm
net23175,101.76µm
net29214,101.76µm
_017768_,101.74µm
_018110_,101.74µm
net9041,101.74µm
net11095,101.74µm
net14695,101.74µm
net16250,101.74µm
net20478,101.74µm
net21210,101.74µm
net22957,101.74µm
net22974,101.74µm
net22998,101.74µm
net23319,101.74µm
net23341,101.74µm
net23431,101.74µm
net23437,101.74µm
net23475,101.74µm
net23926,101.74µm
net231,101.72µm
net5139,101.72µm
net7341,101.72µm
net22906,101.72µm
net23094,101.72µm
net24958,101.72µm
_038232_,101.7µm
net7342,101.7µm
net21608,101.7µm
net23459,101.7µm
net24177,101.7µm
_019711_,101.68µm
net20769,101.68µm
net20802,101.68µm
net20862,101.68µm
net21065,101.68µm
net21930,101.68µm
net22993,101.68µm
net20170,101.66µm
net20492,101.66µm
net20848,101.66µm
net20883,101.66µm
net21073,101.66µm
net21640,101.66µm
net21684,101.66µm
net22076,101.66µm
net22133,101.66µm
net23874,101.66µm
_020716_,101.655µm
net30011,101.645µm
net1736,101.64µm
net13674,101.64µm
net21098,101.64µm
net21779,101.64µm
net21924,101.64µm
net22888,101.64µm
net23219,101.64µm
net23235,101.64µm
net23375,101.64µm
net23408,101.64µm
net23427,101.64µm
net23588,101.64µm
