blok,test,tohum,sonuc,gecti,beklenen_basarisiz,ihlal,uyari,hata,yazma,okuma,kontrol,uyusmazlik,sure
qspi,qspi_bitwalk_test,2,GECTI,True,False,0,0,0,34,33,33,0,1.4
qspi,qspi_bitwalk_test,3,GECTI,True,False,0,0,0,34,33,33,0,1.3
qspi,qspi_dma_test,1,GECTI,True,False,0,0,0,5,12,0,0,0.7
qspi,qspi_dma_test,2,GECTI,True,False,0,0,0,5,12,0,0,0.8
qspi,qspi_dma_test,3,GECTI,True,False,0,0,0,5,12,0,0,0.8
qspi,qspi_fifo_test,1,GECTI,True,False,0,0,0,70,6,0,0,0.9
qspi,qspi_fifo_test,2,GECTI,True,False,0,0,0,70,6,0,0,0.7
qspi,qspi_fifo_test,3,GECTI,True,False,0,0,0,70,6,0,0,0.7
qspi,qspi_flash_test,1,GECTI,True,False,0,0,0,12,30,0,0,0.9
qspi,qspi_flash_test,2,GECTI,True,False,0,0,0,12,30,0,0,0.9
qspi,qspi_flash_test,3,GECTI,True,False,0,0,0,12,30,0,0,0.9
qspi,qspi_modes_test,1,GECTI,True,False,0,0,0,27,68,0,0,0.9
qspi,qspi_modes_test,2,GECTI,True,False,0,0,0,27,68,0,0,0.9
qspi,qspi_modes_test,3,GECTI,True,False,0,0,0,27,68,0,0,0.8
qspi,qspi_random_test,1,GECTI,True,False,0,0,0,24,73,14,0,3.0
qspi,qspi_random_test,2,GECTI,True,False,0,0,0,18,74,20,0,2.9
qspi,qspi_random_test,3,GECTI,True,False,0,0,0,32,89,30,0,3.4
qspi,qspi_reset_mid_test,1,GECTI,True,False,0,0,0,9,22,8,0,1.3
qspi,qspi_reset_mid_test,2,GECTI,True,False,0,0,0,10,21,8,0,1.3
qspi,qspi_reset_mid_test,3,GECTI,True,False,0,0,0,11,20,9,0,1.4
qspi,qspi_reset_test,1,GECTI,True,False,0,0,0,0,2,1,0,1.9
qspi,qspi_reset_test,2,GECTI,True,False,0,0,0,0,2,1,0,2.0
qspi,qspi_reset_test,3,GECTI,True,False,0,0,0,0,2,1,0,1.8
qspi,qspi_ro_test,1,GECTI,True,False,0,0,0,2,2,0,0,1.1
qspi,qspi_ro_test,2,GECTI,True,False,0,0,0,2,2,0,0,1.1
qspi,qspi_ro_test,3,GECTI,True,False,0,0,0,2,2,0,0,0.7
qspi,qspi_stress_test,1,GECTI,True,False,0,0,0,6,6,6,0,0.7
qspi,qspi_stress_test,2,GECTI,True,False,0,0,0,6,6,6,0,0.8
qspi,qspi_stress_test,3,GECTI,True,False,0,0,0,6,6,6,0,0.8
qspi,qspi_unmapped_test,1,GECTI,True,False,0,0,0,3,7,7,0,0.7
qspi,qspi_unmapped_test,2,GECTI,True,False,0,0,0,3,7,7,0,0.6
qspi,qspi_unmapped_test,3,GECTI,True,False,0,0,0,3,7,7,0,0.7
timer,timer_bitwalk_test,1,GECTI,True,False,0,0,0,137,132,132,0,0.7
timer,timer_bitwalk_test,2,GECTI,True,False,0,0,0,137,132,132,0,0.7
timer,timer_bitwalk_test,3,GECTI,True,False,0,0,0,137,132,132,0,0.7
timer,timer_count_test,1,GECTI,True,False,0,0,0,30,8,0,0,0.6
timer,timer_count_test,2,GECTI,True,False,0,0,0,30,8,0,0,0.6
timer,timer_count_test,3,GECTI,True,False,0,0,0,30,8,0,0,0.7
timer,timer_event_test,1,GECTI,True,False,0,0,0,7,5,5,0,0.6
timer,timer_event_test,2,GECTI,True,False,0,0,0,7,5,5,0,0.6
timer,timer_event_test,3,GECTI,True,False,0,0,0,7,5,5,0,0.8
timer,timer_random_test,1,GECTI,True,False,0,0,0,26,73,50,0,2.6
timer,timer_random_test,2,GECTI,True,False,0,0,0,21,79,61,0,2.6
timer,timer_random_test,3,GECTI,True,False,0,0,0,27,70,53,0,2.5
timer,timer_reset_mid_test,1,GECTI,True,False,0,0,0,10,23,14,0,1.2
timer,timer_reset_mid_test,2,GECTI,True,False,0,0,0,11,22,16,0,1.2
timer,timer_reset_mid_test,3,GECTI,True,False,0,0,0,12,21,18,0,1.3
timer,timer_reset_test,1,GECTI,True,False,0,0,0,0,8,6,0,0.7
timer,timer_reset_test,2,GECTI,True,False,0,0,0,0,8,6,0,0.7
timer,timer_reset_test,3,GECTI,True,False,0,0,0,0,8,6,0,0.7
timer,timer_ro_test,1,GECTI,True,False,0,0,0,5,10,0,0,0.7
timer,timer_ro_test,2,GECTI,True,False,0,0,0,5,10,0,0,0.7
timer,timer_ro_test,3,GECTI,True,False,0,0,0,5,10,0,0,0.7
timer,timer_stress_test,1,GECTI,True,False,0,0,0,6,6,6,0,0.6
timer,timer_stress_test,2,GECTI,True,False,0,0,0,6,6,6,0,0.8
timer,timer_stress_test,3,GECTI,True,False,0,0,0,6,6,6,0,0.6
timer,timer_unmapped_test,1,GECTI,True,False,0,0,0,4,8,0,0,0.7
timer,timer_unmapped_test,2,GECTI,True,False,0,0,0,4,8,0,0,0.7
timer,timer_unmapped_test,3,GECTI,True,False,0,0,0,4,8,0,0,0.7
