Metric,Value
flow__warnings__count:RSZ-0062,1
antenna_diodes_count,0
route__net,137298
route__net__special,2
route__drc_errors__iter:0,62219
route__wirelength__iter:0,10462588
route__drc_errors__iter:1,29522
route__wirelength__iter:1,10443023
route__drc_errors__iter:2,26555
route__wirelength__iter:2,10438196
route__drc_errors__iter:3,4145
route__wirelength__iter:3,10444371
route__drc_errors__iter:4,758
route__wirelength__iter:4,10445317
route__drc_errors__iter:5,261
route__wirelength__iter:5,10445308
route__drc_errors__iter:6,37
route__wirelength__iter:6,10445360
route__drc_errors__iter:7,27
route__wirelength__iter:7,10445355
route__drc_errors__iter:8,27
route__wirelength__iter:8,10445355
route__drc_errors__iter:9,0
route__wirelength__iter:9,10445368
route__drc_errors,0
route__wirelength,10445368
route__vias,990254
route__vias__singlecut,990254
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,480
design__critical_disconnected_pin__count,0
route__wirelength__max,1611.9
timing__unannotated_net__count__corner:nom_tt_025C_1v80,872
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,872
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,872
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,341
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,13
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.1413587065190853
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.6286483733733428
timing__hold__ws__corner:min_tt_025C_1v80,0.6848239946735939
timing__setup__ws__corner:min_tt_025C_1v80,9.949024996561084
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.684824
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,9.949025
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,872
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,355
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,13
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.523822222646574
clock__skew__worst_setup__corner:min_ss_100C_1v60,2.6437865978091524
timing__hold__ws__corner:min_ss_100C_1v60,1.4909136569537322
timing__setup__ws__corner:min_ss_100C_1v60,3.023252844752292
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.490914
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,3.023253
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,872
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,336
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,13
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-1.5457138229098746
clock__skew__worst_setup__corner:min_ff_n40C_1v95,1.2011909584766585
timing__hold__ws__corner:min_ff_n40C_1v95,0.3562561457785045
timing__setup__ws__corner:min_ff_n40C_1v95,12.477287112231005
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.356256
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,12.477287
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,872
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,343
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,21
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.50422711877466
clock__skew__worst_setup__corner:max_tt_025C_1v80,1.8787956167061481
timing__hold__ws__corner:max_tt_025C_1v80,0.6172285079967701
timing__setup__ws__corner:max_tt_025C_1v80,9.661219653301764
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.617229
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,9.661220
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,872
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,830
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,21
clock__skew__worst_hold__corner:max_ss_100C_1v60,-4.139595450261507
clock__skew__worst_setup__corner:max_ss_100C_1v60,3.052143069116159
timing__hold__ws__corner:max_ss_100C_1v60,1.4777979258590823
timing__setup__ws__corner:max_ss_100C_1v60,2.449670757801621
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.477798
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,2.449671
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,872
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,340
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,21
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-1.7698174537944593
clock__skew__worst_setup__corner:max_ff_n40C_1v95,1.3648346172877939
timing__hold__ws__corner:max_ff_n40C_1v95,0.28492453647354743
timing__setup__ws__corner:max_ff_n40C_1v95,12.235889092713506
